title,text
Aumakua Rant,"
I was running up the mountain,
Just dog tired,
Suffering,
My mind drifting
Between the Infinite Rift.
My Aumakua (spirit animal) stops on a branch nearby.
He starts to chirp a mile a minute.
I cannot understand him.
For a second I imagine his chirps as something other than sounds.
This is what the little bird might have said,
""If Friends come and go
Enemies must
Stay and stop
Or what happens
If I don't think?
Does that mean
I am not?
Could I just fizzle away
into the immaterial matter in the air?
Become one with the universe,
Dissipate like the wind
Which has a pulse and a spirit
And a really bad temper.
The wind gets really pissed
If you break its rules.
For every reaction
There is a bell that goes off in a parallel universe
And two porcupines make love very carefully
Until one of them pokes the other
In the way that poking is bad...""
I put my finger in my ear, and realize the bird is still chirping and chattering, But for some reason I can't understand him any more. Maybe I never could.



              From: 
                    At Play in the Killing Fields        






              Copyright ©: 
                    2007        


"
Aurora,"
Aurora
Silver lines
Against the sky
Drawn above the
Golden disc
Snowy space
Beneath the cloud
Smoky screen
In greenish hue
Gilded homes
Beside the brook
Flying life
Around the trees
Crawling creatures
On the earth
Rushing spirit
Between the banks
Swimming colours
With flimsy fins
Feather winged
Dip and soar
Waking minds
Inside the huts
Wandering thoughts
Hopeful cries
Many say
It’s just a scene
But for me it’s
The sight of life.



              From: 
                    India        






              Copyright ©: 
                    Deepak Thimaya        


"
Autumn Leaves,"
Why, in autumn, do leaves await the morning time?
Is there a requirement that the Rooster crow to announce the event?
Or does the bustle on the forest floor,
Where the deer and rabbit find their way,
Need to prepare somehow.
 Just like we may do, for a holiday?
 Trotting softly amongst the trees,
The ground lies bare beneath my steed.
The pace is slowed on well-trodden trails.
Except for the occasional broken bark or limb,
Lying listless upon the sandy loam.
Leaves of rustling crimson loom over head,
Their soft shadows filter the fading daylight.
They are in obvious accord with one another.
 It’s not their time to let go.
Ominously through the light evening breezes,
 The bristling leaves bear the increasing seizes
Of tiny droplets upon their fragile stems so tall.
 Under the moonlight they strain
 Against the Omni-potent pull of Sir Isaac Newton’s law.
As dawn rises thru the light morning mist,
Sun beams deliver their radiance and warmth,
And caress autumn leaves with a gentle kiss.
A sparkle of essence awakens nearest,
The prize is quickly grasped by rested drops of dew,
And not knowing what to do,
 Soon expire to the atmosphere,
 From which they are derived,
And take their place amongst the cirrus.
Now released from their burden,
 The leaves stretch upward without effort,
 In artful defiance of the naked woodland floor.
The moment has arrived, the waiting is no more!
They lift up as if to sigh, and pay homage to the sky.
And with their final resolve determined,
 In that moment, without resistance,
They simply let go, as if to die.
Anticipating the inevitable precipitous fall,
They have conspired a gracious ballet!
A spectacular display of cascading, swirling dance,
With Rhythmic fantasies orchestrated by Calais!
A grand finale amongst grasshoppers and ants.
A graceful display of crimson, silver, saffron and gold,
 Impressing even the Rajahs of Old! 
  But then, at what would appear the end of their journey,
 A surprise!
Euros’ Cool breezes quickly lend a hand and create a new sight.
Rising up again, as if by chance, an aerobatic pretension of flight!
 This humors the sparrows and butterflies alike.
But alas, a pre-determined descent nonetheless brief,
As the passing formation of honking snow geese.
A descent on the lightest and most fickle of winds,
That passes by way of tree tops and limbs,
And then with a curtsey and final swirl to the ground.
To greet earth worms and grubs
That crawls amongst the darkest surrounds.
Heaping upon the fertile compost,
 In soft supple Piles,
Stirred by the wind,
Resolved by the rain,
 Soon to be dirt.
 The worms create their mounds.
 They make their contribution to Life’s endless ballet.
  One in which we all participate,
 Some willing and some not so willing,
 As such is the way.
This much we share In common.
Gold and crimson autumn leaves,
like snowflakes  fall.
And so must we all.



              From: 
                    Thomas J Camp        






              Copyright ©: 
                    Thomas J Camp All rights reserved 2015        


"
Beloved Ireland,"
How far your dreams are walking
While masters whisper out for them,
I wonder while watching
The blueish shadows in awe,
Twirling around you, beloved Ireland,
As if you were a slender young candle;
(Wise men say that shadows are fellow sufferers and travellers to our dreams)
How far your dreams are walking
While masters whisper out for them,
I wonder while the wind reaches out through the quiet fog,
The wind that softly caresses your beautiful face,
Beloved Ireland,
The world never looked as beautiful
As it does this morning,
When my gaze met your gaze,
Beloved country,
The valleys were set ablaze in a lush
And moist green,
As if the most beautiful woman's eyes are flaming in the dreamlit air,
I sense the scent of your wonderful body,
Like the scent of that slender fir,
Atop the highest mountain,
Allured by the moon at night.
I didn't hear a thing... not a thing...
Apart from the unbridled and loud beating of my own heart,
And you, my beloved Ireland,
You blissfully laugh,
Inadvertently grabbing my heart.
Beloved Ireland, intertwined with roads of dreams,
Now my dreams,
Rising from copper chains towards the golden sun,
Are mingling with the old hero's dreams,
Who solitary buries his mute, salty tears
Into your sacred bosom,
Like the seed of a new life.
I am praising you, my beloved Ireland!
If I could choose where I shall be buried,
I would like my grave to be there.
If I had to wake up lonely in the world,
I would like to wake up there,
In the crystal night's embrace,
In the proud wind's embrace,
In your embrace,
Beloved Ireland!"
Beyond Us,"
Leaning down on its roots, the stem
I see of a wounded tree.
Seven coated lumberjacks, surrounding
with axes, chopping at the bark
for homes, shelter, paper, money.
Bowing by the neck, how the larch
screams beneath the blades.
What will the neighbors say? 
A landscape stretched with forest.
Branches spread out as open arms,
on each living a family of leaves.
Trees understand why we carve
their bearded skin, they’re the oldest
living things on earth. 
I suspect that trees take pride
in being the true artisans
of the casket. Knowing more about
less makes us the least of what is
already here. By end life, we
will know as much 
			as wood. 



              Copyright ©: 
                    Arthur Kayzakian, 2010        


"
Birth Of A Flower,"
ently grows the flower.
Seeking petal perfection on
the wings of a seed.
Mating with the earth
in dark richness,
germinating transcendence.
Evolution bursts free,
spiraling ever upwards
to greet a bright reality.
Unfolding newborns,
velvet in their sheaths of green.
Begging the sky, they drink.
Perfect petals push their way
to efflorescence, lifting satin
faces to the sun in reverence.
Butterflies behold, as blossom
unfolds it’s glory for all to see.
The flower is born and Earth
weeps it’s blessings.
Gently grows the flower."
Blanket of Daffodils,"
Blanket of Daffodils
How to define the word
yellow?
Tart lemon that stings
your mouth; shining sun
that blinds your eyes;
deep blanket of daffodils
that caresses your face.
Yes, the yellow of petal
that defies early April
and its cruelty.  Wild
and tamed flower, its
color reminds us
of the first light
of spring, the memory
that cannot be forgotten.



              From: 
                    Linda Nemec Foster        






              Copyright ©: 
                    2011        


"
Blue Heron,"
Blue Heron
A great creature, serene
Stately at the edge of calm reflection
Unchanged throughout time
The same feathers, the same flight
The same
Reliable beauty and unending cadence
In journey, in sound, in season
Situates confused
In a complex of buzz and blunder
Humanity overflowing, streaming in metal confinements
Upon concrete interruptions
Oblivious
Living creatures that have lost their rhythm
There is no direction at hand with which to flee it
The noise, the menace
The absence of tranquility
The loss of harmony
The peril of death
Death
An infringement on the feathered comrade
A truth for the chaotic human
To not see the Heron
Is to die



              From: 
                    Kimberly R. S. Han        






              Copyright ©: 
                    2011        


"
Butterfly,"
My romance with efflorescence in an arboretum,
Is the most picturesque moment in ultimatum.
I can decorate your garden in style,
Provided, you keep the flora in pride.
Elated to dabble with your child,
As long as, both of us get stirred.
I can pose in variety of striking colors,
Competing positively with seasonal flavors.
I am the world's most aesthetic insect,
With my graphics globally perfect.



              From: 
                    Ramesh Anand        






              Copyright ©: 
                    Ramesh Anand        


"
Camping,"
What can we find
while camping?
Snuggle up in the bag
pull in your face
and re-breathe your air.
Doesn’t that feel warmer?
Get good rest, we have lots
to walk
tomorrow.
Did I tell you both
about the time
I did this with mom
and we out-walked
our sorrow?"
Carbonized Steaks ,"
More significant than the rise and fall,
More important than the historic events,
More woeful than pathetic deaths,
May we find occurring around us,
Unheeded, though trivial to the minds,
Yet gruesome to the unsealed eyeing hearts. 
Once aimless loitering through the forest,
Brought me to the blazing smoky spot,
Where wild flames were leaping up,
Encircling patches of the withering grass,
And barky beds of dry palm needles. 
My eyes captured a sight too horrible,
A tragedy performed away from the stage,
Beyond the sight of human busy eyes,
With no audience to applaud the struggle,
Or grieve at unjust agonizing infliction. 
A black partridge was fighting in panic,
Against the callous besieging yellow flames,
Each time belittling from all around,
The bird jumped to ward off the calamity,
As hapless men wheedle misfortune,
But in vain retreat with the gait reverse,
And when no one rescues, fight alone. 
Why it flies not, I wondered much,
To save the life, with the wings intact,
Relentless flames encroached instantly,
And burnt bones, flesh and feathers.
Curiosity took me then to the dismal spot. 
Ah! What a doleful thing I had to behold,
The belly seething with the burnt blood,
The motherhood all black, sooty smoked,
Lay singed among the seven babe birds,
Like steaks too carbonized to be eaten. 
When the victimizing gluttonous flames,
Rushed far away, I heard the weeping voices,
Of the sappy sticks of burning youngs,
Protesting against being blazed too soon. 



              From: 
                    Muhammad Shanazar        


"
Carla woodford,"
One single rose
all alone
poised and elegant
ready for the sun
glowing while blossoming
tender while growing
slowly petal's fall
and roses are no more



              From: 
                    Carla woodford        


"
Chainsaw versus the Pampas Grass,"
It seemed an unlikely match. All winter unplugged,
grinding its teeth in a plastic sleeve, the chainsaw swung
nose-down from a hook in the darkroom
under the hatch in the floor. When offered the can
it knocked back a quarter-pint of engine oil
and juices ran from its joints and threads,
oozed across the guide-bar and the maker’s name,
into the dry links. 
From the summerhouse, still holding one last gulp
of last year’s heat behind its double doors, and hung
with the weightless wreckage of wasps and flies,
mothballed in spider’s wool . . .
from there, I trailed the day-glo orange power line
the length of the lawn and the garden path,
fed it out like powder from a keg, then walked
back to the socket and flicked the switch, then walked again
and coupled the saw to the flex – clipped them together.
Then dropped the safety catch and gunned the trigger.
No gearing up or getting to speed, just an instant rage,
the rush of metal lashing out at air, connected to the mains.
The chainsaw with its perfect disregard, its mood
to tangle with cloth, or jewellery, or hair.
The chainsaw with its bloody desire, its sweet tooth
for the flesh of the face and the bones underneath,
its grand plan to kick back against nail or knot
and rear up into the brain.
I let it flare, lifted it into the sun
and felt the hundred beats per second drumming in its heart,
and felt the drive-wheel gargle in its throat.
The pampas grass with its ludicrous feathers
and plumes. The pampas grass, taking the warmth and light
from cuttings and bulbs, sunning itself,
stealing the show with its footstools, cushions and tufts
and its twelve-foot spears.
This was the sledgehammer taken to crack the nut.
Probably all that was needed here was a good pull or shove or a pitchfork to lever it out at its base.
Overkill. I touched the blur of the blade
against the nearmost tip of a reed – it didn’t exist.
I dabbed at a stalk that swooned, docked a couple of heads,
dismissed the top third of its canes with a sideways sweep
at shoulder height – this was a game.
I lifted the fringe of undergrowth, carved at the trunk –
plant-juice spat from the pipes and tubes
and dust flew out as I ripped into pockets of dark, secret warmth.
To clear a space to work
I raked whatever was severed or felled or torn
towards the dead zone under the outhouse wall, to be fired.
Then cut and raked, cut and raked, till what was left
was a flat stump the size of a barrel lid
that wouldn’t be dug with a spade or prised from the earth.
Wanting to finish things off I took up the saw
and drove it vertically downwards into the upper roots,
but the blade became choked with soil or fouled with weeds,
or what was sliced or split somehow closed and mended behind,
like cutting at water or air with a knife.
I poured barbecue fluid into the patch
and threw in a match – it flamed for a minute, smoked
for a minute more, and went out. I left it at that.
In the weeks that came new shoots like asparagus tips
sprang up from its nest and by June
it was riding high in its saddle, wearing a new crown.
Corn in Egypt. I looked on
from the upstairs window like the midday moon.
Back below stairs on its hook the chainsaw seethed.
I left it a year, to work back through its man-made dreams, to try to forget.
The seamless urge to persist was as far as it got.
Meaning of the Poem
This poem written by Armitage in 2002 is about a man using a chainsaw to cut down the pampas grass of South America. The chainsaw is ‘overkill’ where such a simple task is concerned: one doesn’t need to use an electric chainsaw to cut grass. But this is, as Armitage puts it, the sledgehammer taken to crack the nut. However, despite the chainsaw mowing down the grass with ease, the poem ends with a vision of the grass growing back, enduring despite the chainsaw’s best efforts to destroy it.




              From: 
                    2002, The Universal Home Doctor (Faber & Faber)         






              Copyright ©: 
                    Simon Armitage        


"
Colorado Midnight,"
We were the sound through the trees,
we were a creek, skirting the night.
Little flames, I could sing the hymns
of leaves. A glass flute led the melody. 
Our teeth grinned endless grins, glinting
like the eyelets of our shoes. We waded
across the water in echoes, in ripples.
The minnows caught the moon:
the fading light of stars in the morning,
the glow of embers under ash. The fish
always escaped our grasp. Their eyes
were hidden by water masks.



              From: 
                    unpublished        






              Copyright ©: 
                    Brian Clifton        


"
Come September,"
Come September!
Heart condense into magnetic acceptance
With blossoms of fragrant daisy
In the arid, dusty horizon of futility
The fine dusty soil once-
Gone with the wind
Homes on the barren heart
Comforting it, soothing it
Coating it with message immense
 Each step with white hope
The dream leaps in passion
On the rutted DE textured path
Moving on and on
The introverted lamp illuminates
At times sunnier, at times grey
But mostly stable
Then-
 The tempest distorts all
But the hand didn’t fail to gather straw
And make the roof again



              Copyright ©: 
                    Tanni Bose        


"
Come una margherita,"
COME UNA MARGHERITA
Come una margherita
si scrolla e si piega
al crudo sferzare
del vento tagliente
e perde nel mentre
la bianca corolla
che a velo si spiega
nell'aria e sul mare,
così il mio cantare
si perde a brandelli
fra il noto alternarsi
di sole e di stelle,
quel pendolo folle
che secca la pelle,
imbianca la fronte
e spegne il dolore.
[Translation to English]
AS A DAISY
As a daisy
shakes and bends
at the crude lash
of the sharp wind
and lost in while
the white corolla
unfolding as a veil
in the air and upon the sea
so my singing
is lost in tatters
in the known rotation
of sun and stars,
that crazy pendulum
that dries the skin,
whitens the brow
and stifles the pain.



              From: 
                    Dario de Judicibus        






              Copyright ©: 
                    Dario de Judicibus 1978-2011        


"
"come, sun rays","
come, sun rays
kiss my naked feet
bite them, if you think them sexy;
put your warmth
in every toe
and re-kindle the flames in my blood;
kill the fungus if you find any there
under or on the nails -
and Oh, I so love your touch
and the way you bounce off my feet;
but you’re really greedy
sun rays -
you kiss and you bite…
Oh I’ll go now, sun rays
you’re turning too hot;
I’ll come back later
at my own pleasure
if I like
when I need more



              Copyright ©: 
                    Raj Arumugam        


"
Coral Beauty,"
Coral beauty on the effervescent sides of wet,
languidly bubbled, over each ecstasy of wave,
 in cornices of clinging, dumb with love that speaksIn a secret shore. Splurged, plunged,purged, of wave meeting rock, rock feasting waves,
 they pace the undercurrents of  the curvesOf  night touch, softly abdomened all over;
in  curls they snail , on, coved  beyond love’srequited seeking, nonplussed with ring waves of green wort,Of sea flora that cling with  clitoral gentleness ,before ecstasy turns to fail, and  they fall off
their orgasmic precipices, 
in muted crying to the lit night starsfor love, love's  ended  unending.



              From: 
                    The Zong        






              Copyright ©: 
                    Gopikrishnan Kottoor        


"
Crossing the Bar ,"

by Alfred Tennyson

Sunset and evening star,
And one clear call for me!
And may there be no moaning of the bar,
When I put out to sea,
But such a tide as moving seems asleep,
Too full for sound and foam,
When that which drew from out the boundless deep
Turns again home.
Twilight and evening bell,
And after that the dark!
And may there be no sadness of farewell,
When I embark;
For tho' from out our bourne of Time and Place
The flood may bear me far,
I hope to see my Pilot face to face
When I have crost the bar.



Share this Poem:







< previous poemnext poem >Best Poems About Death







"
Cry of the Betrayed Earth,"
From her womb
there seems to come the echo of a thousand souls:
“The earth is the bone of yours bones,
the flesh of your flesh,
and the shadow of your existence.”
Down in the womb of the earth
among the tea bundles and bones,
there lies a coffin…
There is a corpse rotting there
for each waltz and tango that play here.
There is a dark secret hidden below every feet of the earth.
The echo of a thousand souls is still haunting
those who are easily seduced.
The earth looked at me…its face wrinkled
like the face of an old sage.
I felt the shame in its faltering being,
an end less shame
Because I have betrayed it;
Because we have all betrayed it!…
In the end, though,
overwhelmed and amok,
poor like Job,
He returns back to the earth."
