title,text
Black Oaks,"
Okay, not one can write a symphony, or a dictionary,
or even a letter to an old friend, full of remembrance
and comfort. 
Not one can manage a single sound though the blue jays
carp and whistle all day in the branches, without
the push of the wind. 
But to tell the truth after a while I'm pale with longing
for their thick bodies ruckled with lichen
and you can't keep me from the woods, from the tonnage
of their shoulders, and their shining green hair.
Today is a day like any other: twenty-four hours, a
little sunshine, a little rain. 
Listen, says ambition, nervously shifting her weight from
one boot to another -- why don't you get going?
For there I am, in the mossy shadows, under the trees.
And to tell the truth I don't want to let go of the wrists
of idleness, I don't want to sell my life for money,
I don't even want to come in out of the rain."
Blossom,"
In April
the ponds open
like black blossoms,
the moon
swims in every one;
there’s fire
everywhere: frogs shouting
their desire,
their satisfaction. What
we know: that time
chops at us all like an iron
hoe, that death
is a state of paralysis. What
we long for: joy
before death, nights
in the swale - everything else
can wait but not
this thrust
from the root
of the body. What
we know: we are more
than blood - we are more
than our hunger and yet
we belong
to the moon and when the ponds
open, when the burning
begins the most
thoughtful among us dreams
of hurrying down
into the black petals
into the fire,
into the night where time lies shattered
into the body of another."
Breakage,"
I go down to the edge of the sea.
How everything shines in the morning light!
The cusp of the whelk,
the broken cupboard of the clam,
the opened, blue mussels,
moon snails, pale pink and barnacle scarred—
and nothing at all whole or shut, but tattered, split,
dropped by the gulls onto the gray rocks and all the moisture gone.
It’s like a schoolhouse
of little words,
thousands of words.
First you figure out what each one means by itself,
the jingle, the periwinkle, the scallop
       full of moonlight.
Then you begin, slowly, to read the whole story."
Catbird,"
He picks his pond, and the soft thicket of his world.
He bids his lady come, and she does,
flirting with her tail.
He begins early, and makes up his song as he goes.
He does not enter a house at night, or when it rains.
He is not afraid of the wind, though he is cautious.
He watches the snake, that stripe of black fire,
until it flows away.
He watches the hawk with her sharpest shins, aloft
in the high tree.
He keeps his prayer under his tongue.
In his whole life he has never missed the rising of the sun.
He dislikes snow.
But a few raisins give him the greatest delight.
He sits in the forelock of the lilac, or he struts
in its shadow.
He is neither the rare plover or the brilliant bunting,
but as common as the grass.
His black cap gives him a jaunty look, for which
we humans have learned to tilt our caps, in envy.
When he is not singing, he is listening.
Neither have I ever seen him with his eyes closed.
Though he may be looking at nothing more than a cloud
it brings to his mind several dozen new remarks.
From one branch to another, or across the path,
he dazzles with flight.
Since I see him every morning, I have rewarded myself
the pleasure of thinking that he knows me.
Yet never once has he answered my nod.
He seems, in fact, to find in me a kind of humor,
I am so vast, uncertain and strange.
I am the one who comes and goes,
and who knows why.
Will I ever understand him?
Certainly he will never understand me, or the world
I come from.
For he will never sing for the kingdom of dollars.
For he will never grow pockets in his gray wings."
Clapp's Pond,"
Three miles through the woods
Clapp's Pond sprawls stone gray
among oaks and pines,
the late winter fields
where a pheasant blazes up
lifting his yellow legs
under bronze feathers, opening
bronze wings;
and one doe, dimpling the ground as she touches
its dampness sharply, flares
out of the brush and gallops away.
*
By evening: rain.
It pours down from the black clouds,
lashes over the roof. The last
acorns spray over the porch; I toss
one, then two more
logs on the fire.
*
How sometimes everything
closes up, a painted fan, landscapes and moments
flowing together until the sense of distance - - -
say, between Clapp's Pond and me - - -
vanishes, edges slide together
like the feathers of a wing, everything
touches everything.
*
Later, lying half-asleep under
the blankets, I watch
while the doe, glittering with rain, steps
under the wet slabs of the pines, stretches
her long neck down to drink
*
from the pond
three miles away."
Climbing The Chagrin River,"
We enter
the green river,
heron harbor,
mud-basin lined
with snagheaps, where turtles
sun themselves--we push
through the falling
silky weight
striped warm and cold
bounding down
through the black flanks
of wet rocks--we wade
under hemlock
and white pine--climb
stone steps into
the timeless castles
of emerald eddies,
swirls, channels
cold as ice tumbling
out of a white flow--
sheer sheets
flying off rocks,
frivolous and lustrous,
skirting the secret pools--
cradles
full of the yellow hair
of last year's leaves
where grizzled fish
hang halfway down,
like tarnished swords,
while around them
fingerlings sparkle
and descend,
nails of light
in the loose
racing waters."
Cold Poem,"
Cold now.
Close to the edge. Almost
unbearable. Clouds
bunch up and boil down
from the north of the white bear.
This tree-splitting morning
I dream of his fat tracks,
the lifesaving suet.
I think of summer with its luminous fruit,
blossoms rounding to berries, leaves,
handfuls of grain.
Maybe what cold is, is the time
we measure the love we have always had, secretly,
for our own bones, the hard knife-edged love
for the warm river of the I, beyond all else; maybe
that is what it means the beauty
of the blue shark cruising toward the tumbling seals.
In the season of snow,
in the immeasurable cold,
we grow cruel but honest; we keep
ourselves alive,
if we can, taking one after another
the necessary bodies of others, the many
crushed red flowers."
Daisies,"
It is possible, I suppose that sometime
we will learn everything
there is to learn: what the world is, for example,
and what it means. I think this as I am crossing
from one field to another, in summer, and the
mockingbird is mocking me, as one who either
knows enough already or knows enough to be
perfectly content not knowing. Song being born
of quest he knows this: he must turn silent
were he suddenly assaulted with answers. Instead
oh hear his wild, caustic, tender warbling ceaselessly
unanswered. At my feet the white-petalled daisies display
the small suns of their center piece, their - if you don't
mind my saying so - their hearts. Of course
I could be wrong, perhaps their hearts are pale and
narrow and hidden in the roots. What do I know?
But this: it is heaven itself to take what is given,
to see what is plain; what the sun lights up willingly;
for example - I think this
as I reach down, not to pick but merely to touch -
the suitability of the field for the daisies, and the
daisies for the field."
Dogfish,"
Some kind of relaxed and beautiful thing
kept flickering in with the tide
and looking around.
Black as a fisherman's boot,
with a white belly.
If you asked for a picture I would have to draw a smile
under the perfectly round eyes and above the chin,
which was rough
as a thousand sharpened nails.
And you know
what a smile means,
don't you?
*
I wanted the past to go away, I wanted
to leave it, like another country; I wanted
my life to close, and open
like a hinge, like a wing, like the part of the song
where it falls
down over the rocks: an explosion, a discovery;
I wanted
to hurry into the work of my life; I wanted to know,
whoever I was, I was
alive
for a little while.
*
It was evening, and no longer summer.
Three small fish, I don't know what they were,
huddled in the highest ripples
as it came swimming in again, effortless, the whole body
one gesture, one black sleeve
that could fit easily around
the bodies of three small fish.
*
Also I wanted
to be able to love. And we all know
how that one goes,
don't we?
Slowly
*
the dogfish tore open the soft basins of water.
*
You don't want to hear the story
of my life, and anyway
I don't want to tell it, I want to listen
to the enormous waterfalls of the sun.
And anyway it's the same old story - - -
a few people just trying,
one way or another,
to survive.
Mostly, I want to be kind.
And nobody, of course, is kind,
or mean,
for a simple reason.
And nobody gets out of it, having to
swim through the fires to stay in
this world.
*
And look! look! look! I think those little fish
better wake up and dash themselves away
from the hopeless future that is
bulging toward them.
*
And probably,
if they don't waste time
looking for an easier world,
they can do it."
Egrets,"
Where the path closed
 down and over,
   through the scumbled leaves,
     fallen branches,
through the knotted catbrier,
  I kept going.  Finally
    I could not
      save my arms
        from thorns; soon
the mosquitoes
  smelled me, hot
    and wounded, and came
      wheeling and whining.
        And that's how I came
to the edge of the pond:
  black and empty
    except for a spindle
      of bleached reeds
at the far shore
  which, as I looked,
    wrinkled suddenly
      into three egrets - - -
a shower
  of white fire!
    Even half-asleep they had
      such faith in the world
that had made them - - -
  tilting through the water,
    unruffled, sure,
      by the laws
of their faith not logic,
  they opened their wings
    softly and stepped
      over every dark thing."
Fall Song,"
Another year gone, leaving everywhere
its rich spiced residues: vines, leaves,
the uneaten fruits crumbling damply
in the shadows, unmattering back
from the particular island
of this summer, this NOW, that now is nowhere
except underfoot, moldering
in that black subterranean castle
of unobservable mysteries - roots and sealed seeds
and the wanderings of water. This
I try to remember when time's measure
painfully chafes, for instance when autumn
flares out at the last, boisterous and like us longing
to stay - how everything lives, shifting
from one bright vision to another, forever
in these momentary pastures. "
Flare,"
 1.
Welcome to the silly, comforting poem.
It is not the sunrise,
which is a red rinse,
which is flaring all over the eastern sky;
it is not the rain falling out of the purse of God;
it is not the blue helmet of the sky afterward,
or the trees, or the beetle burrowing into the earth;
it is not the mockingbird who, in his own cadence,
will go on sizzling and clapping
from the branches of the catalpa that are thick with blossoms,
    that are billowing and shining,
        that are shaking in the wind.
        2.
        You still recall, sometimes, the old barn on your
    great-grandfather's farm, a place you visited once,
    and went into, all alone, while the grownups sat and
    talked in the house.
        It was empty, or almost. Wisps of hay covered the floor,
    and some wasps sang at the windows, and maybe there was
    a strange fluttering bird high above, disturbed, hoo-ing
    a little and staring down from a messy ledge with wild,
    binocular eyes.
        Mostly, though, it smelled of milk, and the patience of
    animals; the give-offs of the body were still in the air,
    a vague ammonia, not unpleasant.
        Mostly, though, it was restful and secret, the roof high
    up and arched, the boards unpainted and plain.
        You could have stayed there forever, a small child in a corner,
    on the last raft of hay, dazzled by so much space that seemed
    empty, but wasn't.
        Then--you still remember--you felt the rap of hunger--it was
    noon--and you turned from that twilight dream and hurried back
    to the house, where the table was set, where an uncle patted you
    on the shoulder for welcome, and there was your place at the table.
        3.
Nothing lasts.
There is a graveyard where everything I am talking about is,
now.
I stood there once, on the green grass, scattering flowers.
        4.
Nothing is so delicate or so finely hinged as the wings
of the green moth
against the lantern
against its heat
against the beak of the crow
in the early morning.
Yet the moth has trim, and feistiness, and not a drop
    of self-pity.
Not in this world.
        5.
My mother
was the blue wisteria,
my mother
was the mossy stream out behind the house,
my mother, alas, alas,
did not always love her life,
heavier than iron it was
as she carried it in her arms, from room to room,
oh, unforgettable!
I bury her
in a box
in the earth
and turn away.
My father
was a demon of frustrated dreams,
was a breaker of trust,
was a poor, thin boy with bad luck.
He followed God, there being no one else
he could talk to;
he swaggered before God, there being no one else
who would listen.
Listen,
this was his life.
I bury it in the earth.
I sweep the closets.
I leave the house.
        6.
I mention them now,
I will not mention them again.
It is not lack of love
nor lack of sorrow.
But the iron thing they carried, I will not carry.
I give them--one, two, three, four--the kiss of courtesy,
    of sweet thanks,
of anger, of good luck in the deep earth.
May they sleep well. May they soften.
But I will not give them the kiss of complicity.
I will not give them the responsibility for my life.
        7.
Did you know that the ant has a tongue
with which to gather in all that it can
of sweetness?
Did you know that?
        8.
The poem is not the world.
It isn't even the first page of the world.
But the poem wants to flower, like a flower.
It knows that much.
It wants to open itself,
like the door of a little temple,
so that you might step inside and be cooled and refreshed,
and less yourself than part of everything.
        9.
The voice of the child crying out of the mouth of the
    grown woman
is a misery and a disappointment.
The voice of the child howling out of the tall, bearded,
    muscular man
is a misery, and a terror.
        10.
Therefore, tell me:
what will engage you?
What will open the dark fields of your mind,
    like a lover
        at first touching?
        11.
Anyway,
there was no barn.
No child in the barn.
No uncle no table no kitchen.
Only a long lovely field full of bobolinks.
        12.
When loneliness comes stalking, go into the fields, consider
the orderliness of the world. Notice
something you have never noticed before,
like the tambourine sound of the snow-cricket
whose pale green body is no longer than your thumb.
Stare hard at the hummingbird, in the summer rain,
shaking the water-sparks from its wings.
Let grief be your sister, she will whether or no.
Rise up from the stump of sorrow, and be green also,
    like the diligent leaves.
A lifetime isn't long enough for the beauty of this world
and the responsibilities of your life.
Scatter your flowers over the graves, and walk away.
Be good-natured and untidy in your exuberance.
In the glare of your mind, be modest.
And beholden to what is tactile, and thrilling.
Live with the beetle, and the wind.
This is the dark bread of the poem.
This is the dark and nourishing bread of the poem."
Gannets,"
I am watching the white gannets
blaze down into the water
with the power of blunt spears
and a stunning accuracy--
even though the sea is riled and boiling
and gray with fog
and the fish
are nowhere to be seen,
they fall, they explode into the water
like white gloves,
then they vanish,
then they climb out again,
from the cliff of the wave,
like white flowers--
and still I think
that nothing in this world moves
but as a positive power--
even the fish, finning down into the current
or collapsing
in the red purse of the beak,
are only interrupted from their own pursuit
of whatever it is
that fills their bellies--
and I say:
life is real,
and pain is real,
but death is an imposter,
and if I could be what once I was,
like the wolf or the bear
standing on the cold shore,
I would still see it--
how the fish simply escape, this time,
or how they slide down into a black fire
for a moment,
then rise from the water inseparable
from the gannets' wings."
Have You Ever Tried to Enter the Long Black Branches,"
Have you ever tried to enter the long black branches of other lives --
tried to imagine what the crisp fringes, full of honey, hanging
from the branches of the young locust trees, in early morning, feel like?
Do you think this world was only an entertainment for you?
Never to enter the sea and notice how the water divides
with perfect courtesy, to let you in!
Never to lie down on the grass, as though you were the grass!
Never to leap to the air as you open your wings over the dark acorn of your heart!
No wonder we hear, in your mournful voice, the complaint
that something is missing from your life!
Who can open the door who does not reach for the latch?
Who can travel the miles who does not put one foot
in front of the other, all attentive to what presents itself
continually?
Who will behold the inner chamber who has not observed
with admiration, even with rapture, the outer stone?
Well, there is time left --
fields everywhere invite you into them.
And who will care, who will chide you if you wander away
from wherever you are, to look for your soul?
Quickly, then, get up, put on your coat, leave your desk!
To put one's foot into the door of the grass, which is
the mystery, which is death as well as life, and
not be afraid!
To set one's foot in the door of death, and be overcome
with amazement!
To sit down in front of the weeds, and imagine
god the ten-fingered, sailing out of his house of straw,
nodding this way and that way, to the flowers of the
present hour,
to the song falling out of the mockingbird's pink mouth,
to the tippets of the honeysuckle, that have opened
in the night
To sit down, like a weed among weeds, and rustle in the wind!
Listen, are you breathing just a little, and calling it a life?
While the soul, after all, is only a window,
and the opening of the window no more difficult
than the wakening from a little sleep.
Only last week I went out among the thorns and said
to the wild roses:
deny me not,
     but suffer my devotion.
Then, all afternoon, I sat among them. Maybe
I even heard a curl or tow of music, damp and rouge red,
hurrying from their stubby buds, from their delicate watery bodies.
For how long will you continue to listen to those dark shouters,
caution and prudence?
Fall in! Fall in!
A woman standing in the weeds.
A small boat flounders in the deep waves, and what's coming next
is coming with its own heave and grace.
Meanwhile, once in a while, I have chanced, among the quick things,
upon the immutable.
What more could one ask?
And I would touch the faces of the daises,
and I would bow down
to think about it.
That was then, which hasn't ended yet.
Now the sun begins to swing down. Under the peach-light,
I cross the fields and the dunes, I follow the ocean's edge.
I climb, I backtrack.
I float.
I ramble my way home.



              From: 
                    West Wind: Poems and Prose Poems        






              Copyright ©: 
                    Mary Oliver        


"
Heavy,"
That time
I thought I could not
go any closer to grief
without dying
I went closer,
and I did not die.
Surely God
had his hand in this,
as well as friends.
Still, I was bent,
and my laughter,
as the poet said,
was nowhere to be found.
Then said my friend Daniel,
(brave even among lions),
“It’s not the weight you carry
but how you carry it–
books, bricks, grief–
it’s all in the way
you embrace it, balance it, carry it
when you cannot, and would not,
put it down.”
So I went practicing.
Have you noticed?
Have you heard
the laughter
that comes, now and again,
out of my startled mouth?
How I linger
to admire, admire, admire
the things of this world
that are kind, and maybe
also troubled –
roses in the wind,
the sea geese on the steep waves,
a love
to which there is no reply?"
"Heron Rises From The Dark, Summer Pond","
So heavy
is the long-necked, long-bodied heron,
always it is a surprise
when her smoke-colored wings
open
and she turns
from the thick water,
from the black sticks
of the summer pond,
and slowly
rises into the air
and is gone.
Then, not for the first or the last time,
I take the deep breath
of happiness, and I think
how unlikely it is
that death is a hole in the ground,
how improbable
that ascension is not possible,
though everything seems so inert, so nailed
back into itself--
the muskrat and his lumpy lodge,
the turtle,
the fallen gate.
And especially it is wonderful
that the summers are long
and the ponds so dark and so many,
and therefore it isn't a miracle
but the common thing,
this decision,
this trailing of the long legs in the water,
this opening up of the heavy body
into a new life: see how the sudden
gray-blue sheets of her wings
strive toward the wind; see how the clasp of nothing
takes her in."
Honey At The Table,"
It fills you with the soft
essence of vanished flowers, it becomes
a trickle sharp as a hair that you follow
from the honey pot over the table
and out the door and over the ground,
and all the while it thickens,
grows deeper and wilder, edged
with pine boughs and wet boulders,
pawprints of bobcat and bear, until
deep in the forest you
shuffle up some tree, you rip the bark,
you float into and swallow the dripping combs,
bits of the tree, crushed bees - - - a taste
composed of everything lost, in which everything lost is found."
I Ask Percy How I Should Live My Life,"
Love, love, love, says Percy.
And hurry as fast as you can
along the shining beach, or the rubble, or the dust.
Then, go to sleep.
Give up your body heat, your beating heart.
Then, trust."
I Want to Write Something So Simply,"
I want to write something
so simply
about love
or about pain
that even
as you are reading
you feel it
and as you read
you keep feeling it
and though it be my story
it will be common,
though it be singular
it will be known to you
so that by the end
you will think—
no, you will realize—
that it was all the while
yourself arranging the words,
that it was all the time
words that you yourself,
out of your heart
had been saying."
Knife,"
Something
just now
moved through my heart
like the thinnest of blades
as that red-tail pumped
once with its great wings
and flew above the gray, cracked
rock wall.
It wasn't
about the bird, it was
something about the way
stone stays
mute and put, whatever
goes flashing by.
Sometimes,
when I sit like this, quiet,
all the dreams of my blood
and all outrageous divisions of time
seem ready to leave,
to slide out of me.
Then, I imagine, I would never move.
By now
the hawk has flown five miles
at least,
dazzling whoever else has happened
to look up.
I was dazzled. But that
wasn't the knife.
It was the sheer, dense wall
of blind stone
without a pinch of hope
or a single unfulfilled desire
sponging up and reflecting,
so brilliantly,
as it has for centuries,
the sun's fire."
Last Night the Rain Spoke to Me,"
Last night
the rain
spoke to me
slowly, saying,
what joy
to come falling
out of the brisk cloud,
to be happy again
in a new way
on the earth!
That’s what it said
as it dropped,
smelling of iron,
and vanished
like a dream of the ocean
into the branches
and the grass below.
Then it was over.
The sky cleared.
I was standing
under a tree.
The tree was a tree
with happy leaves,
and I was myself,
and there were stars in the sky
that were also themselves
at the moment
at which moment
my right hand
was holding my left hand
which was holding the tree
which was filled with stars
and the soft rain –
imagine! imagine!
the long and wondrous journeys
still to be ours."
Lightning,"
The oaks shone
gaunt gold
on the lip
of the storm before
the wind rose,
the shapeless mouth
opened and began
its five-hour howl;
the lights
went out fast, branches
sidled over
the pitch of the roof, bounced
into the year
that grew black
within minutes, except
for the lightening - the landscape
bulging forth like a quick
lesson in creating, then
thudding away. Inside,
as always,
it was hard to tell
fear from excitement:
how sensual
the lightning’s
poured stroke! and still,
what a fire and a risk!
As always the body
wants to hide,
wants to flow toward it - strives
to balance while
fear shouts,
excitement shouts, back
and forth - each
bolt a burning river
tearing like escape through the dark
field of the other."
Lilies,"
I have been thinking
about living
like the lilies
that blow in the fields.
They rise and fall
in the edge of the wind,
and have no shelter
from the tongues of the cattle,
and have no closets or cupboards,
and have no legs.
Still I would like to be
as wonderful
as the old idea.
But if I were a lily
I think I would wait all day
for the green face
of the hummingbird
to touch me.
What I mean is,
could I forget myself
even in those feathery fields?
When Van Gogh
preached to the poor
of coarse he wanted to save someone--
most of all himself.
He wasn't a lily,
and wandering through the bright fields
only gave him more ideas
it would take his life to solve.
I think I will always be lonely
in this world, where the cattle
graze like a black and white river--
where the vanishing lilies
melt, without protest, on their tongues--
where the hummingbird, whenever there is a fuss,
just rises and floats away."
Little Owl Who Lives in the Orchard,"
His beak could open a bottle,
and his eyes - when he lifts their soft lids -
go on reading something
just beyond your shoulder -
Blake, maybe,
or the Book of Revelation.
Never mind that he eats only
the black-smocked crickets,
and the dragonflies if they happen
to be out late over the ponds, and of course
the occasional festal mouse.
Never mind that he is only a memo
from the offices of fear -
it’s not size but surge that tells us
when we’re in touch with something real,
and when I hear him in the orchard
fluttering
down the little aliminum
ladder of his scream -
when I see his wings open, like two black ferns, 
a flurry of palpitations
as cold as sleet
rackets across the marshlands
of my heart
like a wild spring day.
Somewhere in the universe,
in the gallery of important things,
the babyish owl, ruffled and rakish,
sits on its pedestal.
Dear, dark dapple of plush!
A message, reads the label,
from that mysterious conglomerate:
Oblivion and Co.
The hooked head stares
from its house of dark, feathery lace.
It could be a valentine. "
Little Summer Poem Touching The Subject Of Faith,"
Every summer
I listen and look
under the sun's brass and even
into the moonlight, but I can't hear
anything, I can't see anything --
not the pale roots digging down, nor the green
        stalks muscling up,
nor the leaves
deepening their damp pleats,
nor the tassels making,
nor the shucks, nor the cobs.
And still,
every day,
the leafy fields
grow taller and thicker --
green gowns lofting up in the night,
showered with silk. 
And so, every summer,
I fail as a witness, seeing nothing --
I am deaf too
to the tick of the leaves, 
the tapping of downwardness from the banyan feet --
all of it
happening
beyond any seeable proof, or hearable hum. 
And, therefore, let the immeasurable come.
Let the unknowable touch the buckle of my spine.
Let the wind turn in the trees,
and the mystery hidden in the dirt
swing through the air.
How could I look at anything in this world
and tremble, and grip my hands over my heart?
What should I fear? 
One morning
in the leafy green ocean
the honeycomb of the corn's beautiful body
is sure to be there."
Marengo,"
Out of the sump rise the marigolds.
From the rim of the marsh, muslin with mosquitoes,
rises the egret, in his cloud-cloth.
Through the soft rain, like mist, and mica,
the withered acres of moss begin again.
When I have to die, I would like to die
on a day of rain--
long rain, slow rain, the kind you think will never end.
And I would like to have whatever little ceremony there might be
take place while the rain is shoveled and shoveled out of the sky,
and anyone who comes must travel, slowly and with thought,
as around the edges of the great swamp."
Mindful,"
Every day
     I see or hear
          something
               that more or less
kills me
     with delight,
          that leaves me
               like a needle
in the haystack
     of light.
          It was what I was born for -
               to look, to listen,
to lose myself
     inside this soft world -
          to instruct myself
               over and over
in joy,
     and acclamation.
          Nor am I talking
               about the exceptional,
the fearful, the dreadful,
     the very extravagant -
          but of the ordinary,
               the common, the very drab,
the daily presentations.
     Oh, good scholar,
          I say to myself,
               how can you help
but grow wise
     with such teachings
          as these -
               the untrimmable light
of the world,
     the ocean's shine,
          the prayers that are made
               out of grass?"
Moccasin Flowers,"
All my life,
so far,
I have loved
more than one thing,
including the mossy hooves
of dreams, including'
the spongy litter
under the tall trees.
In spring
the moccasin flowers
reach for the crackling
lick of the sun
and burn down. Sometimes,
in the shadows,
I see the hazy eyes,
the lamb-lips
of oblivion,
its deep drowse,
and I can imagine a new nothing
in the universe,
the matted leaves splitting
open, revealing
the black planks
of the stairs.
But all my life--sofar--
I have loved best
how the flowers rise
and open, how
the pink lungs of their bodies
enter the fore of the world
and stand there shining
and willing--the one
thing they can do before
they shuffle forward
into the floor of darkness, they
become the trees. "
Mockingbirds,"
This morning
two mockingbirds
in the green field
were spinning and tossing
the white ribbons
of their songs
into the air.
I had nothing
better to do
than listen.
I mean this
seriously.
In Greece,
a long time ago,
an old couple
opened their door
to two strangers
who were,
it soon appeared,
not men at all,
but gods.
It is my favorite story--
how the old couple
had almost nothing to give
but their willingness
to be attentive--
but for this alone
the gods loved them
and blessed them--
when they rose
out of their mortal bodies,
like a million particles of water
from a fountain,
the light
swept into all the corners
of the cottage,
and the old couple,
shaken with understanding,
bowed down--
but still they asked for nothing
but the difficult life
which they had already.
And the gods smiled, as they vanished,
clapping their great wings.
Wherever it was
I was supposed to be
this morning--
whatever it was I said
I would be doing--
I was standing
at the edge of the field--
I was hurrying
through my own soul,
opening its dark doors--
I was leaning out;
I was listening."
Moles,"
Under the leaves, under
the first loose
levels of earth
they're there -- quick
as beetles, blind
as bats, shy
as hares but seen
less than these --
traveling
among the pale girders
of appleroot,
rockshelf, nests
of insects and black
pastures of bulbs
peppery and packed full
of the sweetest food:
spring flowers.
Field after field
you can see the traceries
of their long
lonely walks, then
the rains blur
even this frail hint of them --
so excitable,
so plush,
so willing to continue
generation after generation
accomplishing nothing
but their brief physical lives
as they live and die,
pushing and shoving
with their stubborn muzzles against
the whole earth,
finding it
delicious."
